qidianBookId,numOfChapters,numOfCollectedChapters,completionPercentage,missingChapterIds,noCommentChapterIds
2136013,30,29,100.0,"['35206587', '35206591', '35206597', '35206609', '35206628', '35221123', '35235535', '35249766', '35264001', '35279738', '35285855', '35295212', '35300451', '35310645', '35316186', '35325415', '35330556', '35340260', '35346263', '35355280', '35361007', '35370906', '35376886', '35384426', '35386490', '35391589', '35401210', '35406236', '35415865', '35421365']",['35316186']
1192037,100,96,100.0,"['23741416', '24151869', '25546054', '38686512', '48031966', '22995941', '22996242', '23016107', '23017886', '23022378', '23024743', '23033925', '23036290', '23046908', '23050899', '23058573', '23062391', '23069354', '23073542', '23080591', '23084690', '23090907', '23094930', '23097402', '23101472', '23106175', '23108657', '23114106', '23117450', '23120745', '23123292', '23128115', '23131869', '23138571', '23138682', '23142796', '23145178', '23150156', '23152881', '23155684', '23160933', '23164313', '23166137', '23167022', '23172214', '23175182', '23178070', '23183181', '23187206', '23189391', '23194531', '23198141', '23200511', '23205909', '23209846', '23211887', '23216677', '23221258', '23223137', '23228153', '23231986', '23234152', '23239409', '23242502', '23244505', '23245543', '23254253', '23257163', '23262514', '23266551', '23267737', '23273169', '23277326', '23279063', '23284589', '23287974', '23290091', '23295019', '23299259', '23301362', '23306268', '23310321', '23312455', '23318360', '23320644', '23323278', '23323960', '23328350', '23332689', '23335043', '23339881', '23343870', '23345996', '23350940', '23354840', '23356894', '23362858', '23365018', '23759079', '47569362']","['23741416', '25546054', '38686512', '48031966']"
1321320,82,78,100.0,"['24485954', '24631802', '24897458', '25875664', '25918992', '26664393', '26877992', '26886208', '27121917', '43446941', '63027631', '385681856', '24443222', '24450946', '24459247', '24464891', '24472102', '24477771', '24485645', '24490456', '24498527', '24503409', '24510336', '24516072', '24523102', '24529100', '24536244', '24541958', '24549367', '24553446', '24566463', '24566479', '24574940', '24579825', '24584728', '24592454', '24600031', '24604896', '24612008', '24617766', '24624842', '24630452', '24637912', '24642236', '24650285', '24656343', '24663717', '24670868', '24676834', '24681666', '24688942', '24694158', '24701403', '24707621', '24711159', '24720644', '24727072', '24732625', '24739449', '24745223', '24752208', '24756701', '24763958', '24768652', '24775870', '24779500', '24786909', '24791698', '24799169', '24803913', '24811544', '24816239', '24823219', '24827741', '24834758', '24839498', '24846318', '24850547', '24857317', '24861238', '24864467', '24873680']","['26664393', '26877992', '63027631', '385681856']"
3691373,30,29,100.0,"['95179021', '95179025', '95179028', '95179032', '95179037', '95179042', '95179046', '95179050', '95179055', '95179061', '95179067', '95179074', '95179082', '95179092', '95181911', '95199767', '95217791', '95235170', '95235171', '95252441', '95252442', '95271422', '95271423', '95287023', '95287024', '95302825', '95302826', '95332426', '95468412', '788184497']",['788184497']
1911245,98,91,100.0,"['33013817', '36311716', '46195740', '31850244', '31855975', '31864768', '31871684', '31879054', '31886257', '31893612', '31900201', '31907586', '31914425', '31922175', '31930111', '31937614', '31945226', '31951124', '31959966', '31967567', '31974455', '31982750', '31990565', '31997877', '32005174', '32013688', '32023257', '32031202', '32037688', '32045915', '32053323', '32059710', '32069206', '32077830', '32085063', '32092755', '32099675', '32108116', '32115060', '32123708', '32130362', '32139249', '32146422', '32156310', '32165332', '32172814', '32179096', '32189219', '32194906', '32203291', '32209145', '32218084', '32222984', '32231645', '32238330', '32248164', '32253960', '32262997', '32269062', '32273460', '32277256', '32282323', '32291450', '32295595', '32299066', '32306626', '32311020', '32314484', '32320911', '32327395', '32330403', '32335566', '32338655', '32342978', '32350973', '32355270', '32359120', '32366824', '32374466', '32378850', '32381429', '32388200', '32391253', '32396327', '32402127', '32404792', '32409179', '32411522', '32416176', '32423888', '32428071', '32430690', '32438876', '32444659', '32446366', '32453515', '32456883', '32460368']","['36311716', '31922175', '32130362', '32273460', '32396327', '32428071', '32430690']"
1003903188,30,29,100.0,"['322767331', '322767810', '322782654', '322782727', '322782763', '322816114', '322816151', '322859646', '324387684', '324845784', '324846494', '324881214', '324886753', '324899416', '325066710', '325120746', '325128586', '325147983', '325169232', '325174605', '325546851', '325571756', '325579710', '325623933', '325626851', '325644496', '325814419', '325839029', '325873709', '326005450']",['325644496']
3692857,83,80,98.76543209876543,"['96043664', '96043665', '96043667', '96043668', '96043669', '96043671', '96043672', '96043673', '96043674', '96043675', '96043676', '96043677', '96043678', '96043679', '96043680', '96043681', '96043682', '96044539', '96048668', '96048669', '96057102', '96057394', '96058594', '96059904', '96062047', '96065899', '96072704', '96072866', '96072978', '96082618', '96082619', '96082663', '96089123', '96089124', '96089244', '96092677', '96095613', '96095614', '96107047', '96121062', '96123908', '96131574', '96131580', '96139467', '96140154', '96141658', '96157524', '96157525', '96160530', '96161523', '96168506', '96171525', '96186112', '96186113', '96187271', '96190118', '96190119', '96190120', '96199539', '96205654', '96205655', '96215218', '96215220', '96218886', '96220156', '96224454', '96229502', '96229877', '96230857', '96231198', '96239520', '96239521', '96239810', '96239811', '96244160', '96244175', '315054661', '315054690', '315075866', '315075891', '315397379', '315400947', '315414373']","['96082618', '96218886']"
3446747,44,43,97.72727272727273,"['81702148', '81702149', '81702150', '81751728', '81755748', '81782202', '81791283', '81824507', '81829926', '81855739', '81863633', '81886886', '81894644', '81923744', '81933767', '81966976', '81976542', '82004104', '82013673', '82047796', '82048390', '82074534', '82086374', '82108535', '82121320', '82140688', '82152086', '82160904', '82186262', '82195261', '82222215', '82232210', '82259973', '82269411', '82298281', '82308614', '82335222', '82346954', '82374077', '82381366', '82408411', '82419141', '82446711', '82456544']",[]
1003692682,114,108,94.73684210526315,"['343998860', '341658919', '341658932', '341658947', '341658981', '341659039', '341659059', '341660460', '341660505', '341660614', '341660644', '341660671', '341660711', '341660737', '341660806', '341660843', '341660876', '341660931', '341660985', '341661038', '341663999', '341664086', '341664152', '341664240', '341664278', '341664329', '341664357', '341664391', '341664433', '341974854', '341990949', '341990986', '342039430', '342039657', '342039840', '342114246', '342114355', '342156151', '342240180', '342278599', '342308031', '342348840', '342375105', '342407991', '342408061', '342468985', '342469037', '342555341', '342556298', '342624055', '342624099', '342689854', '342689860', '342757210', '342757288', '342824256', '342824263', '342886981', '342887080', '342887138', '342887182', '343018297', '343018407', '343091700', '343091716', '343172784', '343172813', '343243473', '343243578', '343315513', '343315526', '343373409', '343373422', '343373481', '343373523', '343432484', '343432590', '343489259', '343656784', '343656802', '343904591', '343904703', '344011257', '344011278', '344083980', '344084044', '344152936', '344152965', '344213156', '344213344', '344236803', '344276111', '344283059', '344276147', '344353673', '344353709', '344593972', '344594033', '344931233', '344931261', '345728269', '345728315', '345795998', '345796049', '345855414', '345855445', '345911099', '345911124', '345993872', '345995086', '346072324', '346072360', '346228740', '346228841']",[]
3434836,115,102,88.69565217391305,"['81213865', '82147134', '82410051', '82827441', '82873721', '84341626', '85964736', '81182387', '81192465', '81213775', '81223223', '81248255', '81255031', '81281860', '81290472', '81314793', '81325082', '81342690', '81353151', '81377454', '81387215', '81397392', '81420267', '81431215', '81457262', '81467404', '81498357', '81508857', '81534435', '81544013', '81569230', '81579854', '81604268', '81624164', '81629705', '81649727', '81675050', '81685173', '81697488', '81716448', '81744185', '81755100', '81780027', '81794491', '81816152', '81826703', '81852096', '81863073', '81880636', '81897334', '81922435', '81933662', '81962898', '81974540', '82001173', '82012022', '82037761', '82046844', '82073331', '82085738', '82110470', '82122136', '82140040', '82158854', '82177443', '82190917', '82214090', '82225026', '82257596', '82268011', '82296388', '82306297', '82333954', '82344684', '82371300', '82382096', '82400083', '82416973', '82443655', '82455799', '82483457', '82493218', '82520913', '82530128', '82535205', '82559420', '82569355', '82597727', '82612898', '82640799', '82653881', '82673380', '82683859', '82716262', '82726109', '82752410', '82762575', '82787248', '82796318', '82813786', '82821864', '82838312', '82846129', '82863125', '82869309', '82884102', '82884312', '82890756', '82908749', '82915391', '82933235', '82940383', '82957764', '82962762', '82980024']",[]
