userId,Name,Gender,Level,writingDays,readingHours,readBooks,Description,dateJoined,Location
"436905763
",CrowSR, male ,5,,,86, I'm a weeb. ,2017-06-28,Global
"674124222
",Deuxz, male ,10,,,17, A person who likes reading. ,2017-04-19,United States
"4301046201
",epece1791, male ,5,,,68," hola me llamo Eduardo y me gusta cocinar, jugar juegos de cartas y también leer estas paginas de lectura, las cuales leo a diario ",2018-06-28,Chile
"4301726757
",bellieyette80, female ,11,,,35, 😊 ,2018-09-13,Global
"4311796081
",moonlioness_06, female ,12,,551.3,165, can't  explain ,2020-05-15,Philippines
"4312988853
",HotDanishGuy, male ,13,,404.3,66, Describe yourself ,2020-07-18,Denmark
"2032030828
",TrueReader, male ,5,,,2," Used to be an adventurer like you, then I took an arrow in the knee ",2017-08-03,Jamaica
"4302431247
",mibaoshi,,12,,99.6,19,,2018-11-02,Global
"1616651150
",No_Weed_4_you, male ,5,,,63, FeelsNormieMan  ,2017-05-24,Global
"4305852242
",Siti_Nurlina,,1,,,8,,2019-05-03,Global
"4303509982
",flower2343, female ,4,,0.1,45, i am a primary teacher ,2019-01-02,India
"4300145385
",likereally, male ,10,,,22, It is what it is. ,2018-01-04,Global
"4311821902
",NinjaBlader2k, male ,15,,,64, Hi ,2020-05-17,United States
"4309157884
",Daoist411969,,1,,,1,,2019-12-24,Global
"4303882728
",mylestcv, female ,15,,,471," Loves to read,  travel, cook and bake ",2019-01-11,New Zealand
"4301056709
",avaaria, female ,6,,411.2,107, Am just a simple person only ,2018-06-29,Malaysia
"4305873537
",Epun, male ,13,,,8, Just enjoying reading for my boredom ,2019-05-05,Malaysia
"4306955291
",Anita_Rmw, female ,3,,1,1," I'm quiet, fun, and sleepy. ",2019-08-02,United States
"4313152389
",oluwakemi_maryam,,3,,39.2,87,,2020-07-29,Global
"4301778707
",Pranotirk, female ,4,,7.7,12, avid reader ,2018-09-17,India
"4300930824
",Raquel1415, female ,10,,60.7,13, chinita ,2018-06-09,Philippines
"4310679948
",,,0,,,,,1970-01-01,Global
"4300356678
",pengiun,,5,,1.4,26,,2018-03-15,Global
"4305265298
",Tsuruga_Ren,,3,,,23,,2019-03-22,Global
"4309635908
",Jesse_Boyer, male ,15,,,247, hardworking man ,2020-01-17,United States
"2519962561
",NagaKarat,,14,,408.5,232," If only I can read in chinese, japanese and korean, imagine how many more books I can read . ",2017-08-30,Ascension Island
"4301751753
",fearlyn, female ,3,,,7," as lovely as wild flower, ",2018-09-15,Philippines
"4305922037
",Ban_Zot,,4,,,27,,2019-05-08,Global
"2053381231
",Chiq, male ,13,,323.2,43," I love stories with good character development, and solid world building. So, I'm kind of an uppity jerk... ",2017-10-15,United Kingdom
"4300818587
",vegetables, female ,11,,,25, An individual who loves reading ,2018-05-21,Philippines
"4305399447
",pareedhan, male ,2,,,6, reader ,2019-04-02,Canada
"4301669065
",tiffy8, female ,5,,,35, 😊🤗😇😂😍😆💖 ,2018-09-10,Philippines
"4309635129
",JENNIE143,,2,,,5,,2020-01-18,Global
"4301885164
",abi333, male ,3,,,10,,2018-09-26,Global
"4302919755
",Fiearen, male ,11,,17.8,444,,2018-12-09,Australia
"4300350908
",luminalsoup, female ,2,,,3, child ,2018-03-14,Philippines
"4303909460
",boisgerel, male ,12,,,521, give me something to reat ,2019-01-12,Canada
"3966462640
",Novelover15221, male ,5,,205.6,291, novel loving guy ,2017-10-17,United States
"4304585298
",MainStalker, female ,2,,,5, a reader and a writer ,2019-02-04,Philippines
"4304663603
",Iam_dianarria, female ,3,,9,5, me ,2019-02-10,Philippines
"2729824093
",Blades, male ,5,,,45, PAAG is life ,2017-05-16,Canada
"4300167773
",XingYi395, female ,10,,,26, Hi ,2018-01-16,Antarctica
"4308994838
",partyben_13,,10,,515.4,145, i love reading during my free time ,2019-12-13,United States
"1286055676
",Ningen, male ,4,,,42, Nihilist romantic bibliophile ,2017-07-18,India
"41466240
",Nah3sa, female ,14,,82.4,40, ahahahahha ,2017-10-31,France
"4300674050
",AlmightyPriest, male ,14,,,020," Dao Seeking Stage, onward toward Immortal ",2018-05-03,Malaysia
"4300613062
",Dao_of_the_book,,1,,3.5,41,,2019-05-18,Global
"4311951211
",Jenna_Salvatore,,2,,7.1,35, Love bts and have a crush on RM. ,2020-05-22,Global
"4310104276
",crowdan, male ,2,0,,46,,2020-02-14,Iceland
"4315765774
",lademadu,,1,,,2,,2021-01-28,Global
"4307676568
",Daoist427945, female ,2,,,4, I like tangerines:) ,2019-09-18,Egypt
"4304359375
",SushmaP, female ,4,,,12, I am an engineer ,2019-01-24,India
"4307235558
",Grace_Ajunga,,1,,,6,,2020-10-22,Global
"4306481417
",Scox_B3ats, male ,2,,,6, Hi :p ,2019-06-15,Czechia
"4300674136
",YrishiaMae, female ,4,,,7, Cute little bunny 😊 ,2018-05-02,Philippines
"4311356756
",Primal_Warrior, male ,3,,797.4,345, Avid lover of books with systems. Don’t like harem novels.  ,2020-04-22,United States
"4300125680
",EggShells, male ,5,,88.8,212, Readin n Chillin ,2017-12-31,United States
"4302790741
",Helloangela01,,3,,,5, calm ,2018-11-29,Global
"4302035188
",zxcvbmasdfghjkl, male ,5,,446.1,501, What the fuck ,2018-10-05,Philippines
"4301065819
",Charlieambos,,3,,,5,,2018-07-13,Global
"4311814404
",Dorito_Child, female ,13,,953,322, Like to read ,2020-05-18,United States
"4300680123
",mathew25, female ,10,,1.5,101, Iam addicted to webnovel ,2018-05-04,Philippines
"4307158523
",Aidan_Noami, female ,3,0,51.6,19, Reading is great to increase your imagination ,2019-08-17,Global
"4305846728
",Remely_Tuastomban,,4,,,12,,2019-05-02,Global
"4310142404
",DanyLoveBTS4ever, female ,13,,273.1,106," Shy, introverted ",2020-02-18,France
"4314237202
",sairul,,1,,,2,,2020-10-07,Global
"4308716661
",Xian_Sibayan,,3,,143.2,10, Handsome ,2019-11-26,Philippines
"4300941455
",zarterias,,4,,,24," System, Gaming, Comedy, Non-female protagonist, Yaoi ",2018-06-11,Thailand
"208874793
",GatorWine,,4,0,16.9,44," I am an alcoholic alligator, who suffers the crippling issue of being mistaken as a crocodile. ",2017-11-14,United States
"4305296887
",twinx,,4,,35.6,81, Love books ,2019-03-25,Global
"4306229519
",DarkShow, male ,10,,2.3,862," good boy, pervert boy ",2019-05-30,Brazil
"4300750841
",CrisFormentera, male ,10,,,17, Interesting ,2018-05-12,Philippines
"4311936081
",Lynn_Reitzler, male ,14,,608.7,10, reader ,2020-05-21,United States
"4304933234
",Matsela, female ,10,,,5, I’m a reader.  ,2019-02-27,South Africa
"4305531932
",Riant_Yanti, female ,2,,,12, Lupa mana yang bagus ,2019-04-11,Indonesia
"396359057
",LinKiest, male ,5,,,49, L ol ol ,2017-09-01,Global
"2360344670
",Seventailord,,4,,44,241, This is my life no comment ,2017-09-13,Global
"419065771
",lostboy, male ,11,,395.2,73, i am a lost boy ,2017-08-28,United States
"4302940655
",Ellepf, male ,3,,,57, I like to read webnovels. ,2019-01-11,Sweden
"4304708054
",aerons, female ,3,,,9, chubby ,2019-02-12,Philippines
"2223299931
",VoidRage, male ,4,,130.3,171, I'd rather not. ,2017-08-04,India
"4302318349
",Ylyxys, female ,5,,212,41, Humility and gratitude reigns.Grateful. ,2018-10-24,Philippines
"4304701689
",princesselaine, female ,10,,,15, novel reader ,2019-02-11,Philippines
"4305500870
",vanskie, female ,2,,,9, cute ,2019-04-08,Philippines
"4300071835
",Potoco, male ,14,,,156, slow-reader and easily distracted ,2017-12-26,United States
"4305755951
",TheDoubleX, male ,11,,9.5,12, I love reading stories created by upstarting writers! ,2019-04-26,United States
"4304528933
",MageMaester, female ,3,,,6, Just wiki me ,2019-02-02,United Kingdom
"4306362867
",mparungao0424,,2,,,1,,2019-06-07,Global
"4305732766
",EMMA_OBEROI,,6,,172.7,171, BOOKS ARE A UNIQUELY PORTABLE MAGIC. ,2019-04-24,New Zealand
"4305660436
",Akhila_katta1013, female ,2,,,4, peace loving person ,2019-04-19,India
"4304790695
",angel1331, female ,5,,72.1,37, ❄️ ,2019-02-18,India
"4300728225
",DoubleBP,,5,,,13,,2018-05-09,Global
"1412900746
",bookworm_nb, female ,6,,,547, bookworm.... need I say more...lol ,2017-04-20,Global
"4309141587
",Zoe_Smyk, female ,13,,2.8,14, I like animals more than people.  ,2019-12-23,United States
"4313525702
",srixiii,,11,,84.6,2, Describe yourself ,2020-08-21,Global
"4305642850
",Nonduduzo_Nxumalo, female ,5,,61.7,15, conservative ,2019-04-18,Swaziland
"4304352751
",bbianca,,4,,,6,,2019-01-23,Global
"4303025765
",Nether_Immortal,,3,0,0.3,28, I really am an Immortal ,2018-12-15,Global
"4300865676
",EvilHeretik, male ,4,,,7, Random Dutch dude reading books? ,2018-05-29,Netherlands
"4311402532
",Jenidyn_Buscato, female ,3,,2.6,5, i love reading ,2020-04-25,Philippines
"4316694341
",Reshma_Singh_0579,,14,,381,73,,2021-04-22,Global
"4303042171
",TakashiRandcliffe,,1,,,1,,2018-12-16,Global
"4313735219
",Russ_Ian,,15,,,84,,2020-09-03,United States
"4306367474
",Umu_Haira, female ,3,,,19, respectful and honest ,2019-06-07,Ghana
"4305993444
",Madel_Dalupang, female ,3,,,9, filipina ,2019-05-14,Philippines
"4301317446
",rayebeth1789,,11,,5.2,2,,2018-08-06,Global
"4306857552
",sands16, female ,5,,186.8,42, Love reading book and comics ,2019-07-25,United States
"4315144114
",Ayo_Fool, male ,1,,112.9,185," A bored hobbyist, I like writing when I have inspiration and reading is my favorite pastime. ",2020-12-11,Global
"4300165676
",Nyaaaa_,,10,,177.7,79, don't hurt me senpai ,2018-01-13,Global
"423094323
",Rolandmbock, male ,13,,216.1,54, No one spcecial. ,2017-09-13,Portugal
"4308192830
",,,0,,,,,1970-01-01,Global
"4313037426
",Chaos_Drag0, male ,3,,14.8,183, HarEm...(≧▽≦) ,2020-07-19,Global
"901860176
",SpireoTheMonk,,4,,7.3,252,,2017-08-31,Global
