Url,Title
/book/marvel-game-maker-system_21463505405348405,MARVEL: GAME MAKER SYSTEM
/book/endless-path-infinite-cosmos_11766562205519505,Endless Path : Infinite Cosmos
/book/hp-the-arcane-thief_20892578405832405,HP: The Arcane Thief
/book/bnha-singularity_25214518606476405,BNHA: Singularity
/book/i-refuse-to-become-scumbag-in-tokyo_11988629705712505,I Refuse to Become Scumbag in Tokyo
/book/btth-life-simulator-system_24378681606292505,BTTH Life Simulator System
/book/i'm-spider-man-(mcu)_23557087405283605,I'm Spider-Man (MCU)
/book/danmachi-reborn-with-emiya's-powers_25165772405069005,Danmachi: Reborn with EMIYA's Powers
/book/psionic-(marvel)_25440015106195705,Psionic (Marvel)
/book/naruto-back-in-ancient-times_24312057805500605,Naruto: Back in Ancient Times
/book/a-clich%C3%A9-multiverse-story_16792347305257005,A Cliché Multiverse story
/book/meta-essence-gacha-in-marvel_22611582906655205,Meta Essence Gacha in Marvel
/book/marvel-i'm-a-symbiote_25488170005048205,Marvel: I'm a Symbiote
/book/hp-a-magical-journey-%5Bcomplete%5D_19511437205508705,HP: A Magical Journey [Complete]
/book/dc-don't-utter-a-word_23499768705914305,DC: DON'T UTTER A WORD
/book/sis-con-with-dimensional-chat-group_13659672406768405,Sis-Con with Dimensional Chat Group
/book/high-school-dxd-scattered-cherry-blossoms_24535704805870905,High School DxD: Scattered Cherry Blossoms
/book/hogwarts%EF%BC%9Abloodline-wizard_24360075605871205,Hogwarts：Bloodline Wizard
/book/hp-the-otherworlder_24613955306452105,HP: The Otherworlder
/book/the-average-dc-experience-(completed)_23171868206450705,The Average DC Experience (COMPLETED)
/book/danmachi-the-crimson-flash_25036937505645905,Danmachi: The Crimson Flash
/book/playing-with-other-supernaturals_14298291506983905,Playing with other Supernaturals
/book/in-the-movie-worlds-with-my-system_25001357705518005,In the movie worlds with my system
/book/one-piece-gold-list-the-strongest-teacher!_22964706206517905,One Piece Gold List: The Strongest Teacher!
/book/the-cursed-gamer_21047143105971305,The Cursed Gamer
/book/naruto-systematic-shinobi_19024138805972505,Naruto: Systematic Shinobi
/book/with-the-sharingan-in-the-mcu_25237218406537405,With The Sharingan In The MCU
/book/one-piece-the-unreal-adventure_24855920606271905,One Piece: The Unreal Adventure
/book/harry-potter-dimensional-wizard_20565748805514205,Harry Potter: Dimensional Wizard
/book/my-power-is-upgrading-everything-(rewrite)_24406301406470205,My Power is Upgrading Everything (Rewrite)
/book/the-monk-in-the-mcu_25494421705067005,The Monk in the MCU
/book/in-naruto-reborn-with-talent_18117311705327305,In Naruto: Reborn with Talent
/book/marvel-gamer-path_21261155506979605,MARVEL: GAMER PATH
/book/a-nascent-kaleidoscope._21542016806826305,A Nascent Kaleidoscope.
/book/mha-living-as-mineta-is-hard_16112851606033905,MHA: Living as Mineta is hard
/book/one-piece-the-template_21849026005953205,One Piece: The Template
/book/mha-horizon-(ope-ope-no-mi)_20085042405279705,MHA: Horizon (Ope-Ope No Mi)
/book/percy-jackson-the-odyssey-of-a-primordial._25356854106988005,Percy Jackson : The Odyssey of a Primordial.
/book/marvel's-superman-%5Bcompleted%5D_19449410506496705,Marvel's Superman [Completed]
/book/harry-potter-and-the-rise-of-the-protector_17990253906989505,Harry Potter and the Rise of the Protector
/book/aden-strong-avatar-in-dc_23108912406229805,Aden Strong: Avatar In DC
/book/reborn-in-naruto-as-madara's-grandson_17734262306741205,Reborn in Naruto As Madara's Grandson
/book/fate-transcendent_24703275406807605,Fate/Transcendent
/book/my-second-life-in-another-world_22435864206498805,My Second Life in Another World
/book/annihilation-maker-dxd_17238836605998305,Annihilation Maker DXD
/book/in-danmachi-with-plasmids_21297534606119905,In Danmachi with Plasmids
/book/grandpa-universe-in-multiverse-%5Bcomplete%5D_15915745706419505,Grandpa Universe In Multiverse [COMPLETE]
/book/journey-towards-greatness_12793423306363205,Journey Towards Greatness
/book/dragonborn-saga_10867893106194405,Dragonborn Saga
/book/the-wanderer---a-x-men-crossover-fan-fiction_22853522205597505,The Wanderer - A X-Men Crossover Fan-Fiction
/book/one-piece-reborn-as-enel_23492322906122905,One Piece: Reborn as Enel
/book/reborn-as-thor!_21257234406969205,Reborn as Thor!
/book/high-school-of-the-dead-zombie-world-with-a-gacha_25498125306339805,High School of the Dead: Zombie World with a Gacha
/book/naruto-the-strongest-kakashi_19348537506221105,Naruto: The Strongest Kakashi
/book/yggdrasil%E2%80%99s-developer_25548216605216805,Yggdrasil’s Developer
/book/creating-manga-of-one-piece-in-pirates-world-become-my-ultimate-goal!_21965064805459105,Creating Manga Of One Piece In Pirates World Become My Ultimate Goal!
/book/rise-of-the-common-devil-%5Bdxd-fanfic%5D_25576915506569805,Rise of the Common Devil [DXD FanFic]
/book/madara-in-the-avatar-world_23580566205454105,Madara in the Avatar World
/book/dxd-golden-peerage_25255390705339605,DxD: Golden Peerage
/book/ultimate-marvel-system_24786722506805705,Ultimate Marvel System
/book/pokemon-alternate-universe-adventures_20717491805058705,Pokemon Alternate Universe Adventures
/book/reborn-into-naruto-world-with-tenseigan_18472501306962205,Reborn into Naruto World with Tenseigan
/book/a-hollow-in-dc-and-beyond._24298398206674905,A Hollow in DC and Beyond.
/book/tinkering-with-life-(got-si)_25563406305263605,Tinkering With Life (GoT SI)
/book/one-piece-the-ship-of-lust_21245239105698405,One Piece: The Ship of Lust
/book/douluo-dalu-the-legend-of-heavenly-ruler_19487693105446705,Douluo Dalu: The Legend of Heavenly Ruler
/book/harry-potter-a-certain-ancient-rune-professor-of-hogwarts-(tl)_19584811806824805,Harry Potter: A Certain Ancient Rune Professor of Hogwarts (TL)
/book/harry-potter-new-world_19337489706185205,Harry Potter: New World
/book/whatever-it-takes...-%5Bhp-x-mcu-(au)-fanfic%5D_24771970106067705,Whatever It Takes... [HP X MCU (AU) Fanfic]
/book/naruto-uchiha's-genjutsu-demon_23143172205134805,Naruto: Uchiha's Genjutsu Demon
/book/ohh-sh*t-i'm-in-marvel_24914458905256905,"Ohh Sh*t, I'm in Marvel"
/book/vector-in-dc_25254535405337805,VECTOR IN DC
/book/multiverse-of-marvel_21700280905068405,Multiverse of Marvel
/book/re-life-with-karmic-gacha-(modern-family)_25055831305719205,Re:life with Karmic Gacha (Modern Family)
/book/dxd-conquer-multiverse_25099126406129905,DxD : Conquer Multiverse
/book/good-or-bad-does-it-matter-(harry-potter-fanfic)%5Btn%5D_25307471705519905,"Good or Bad, Does it matter? (Harry Potter Fanfic)[TN]"
/book/harry-potter-and-the-dovahkiin_23528265605120405,Harry Potter and the Dovahkiin
/book/marvel-anime-extraction_24193639505659005,Marvel Anime Extraction
/book/naruto-time-control_22045166906217305,Naruto: Time Control
/book/transmigrated-with-a-movie-tech-system_23924258805388005,Transmigrated With A Movie Tech System
/book/pokemon-master-of-tactics_17853368506371705,Pokemon: Master of tactics
/book/transmigrated-into-one-piece-world-with-a-gift-pack_17833178605136905,Transmigrated into One Piece world with a Gift Pack
/book/to-go-even-further-beyond-(dragon-ball-z)_20090184105338205,To Go Even Further Beyond (Dragon Ball Z)
/book/mha-carbon-copy_25437944105917505,MHA: Carbon Copy
